Order #,Last Update,Source File,Total Value($)
WM2512080472,2025-12-08,LCSC__WM2512080472_20260219114150.csv,44.32
WM2510260118,2025-10-26,LCSC__WM2510260118_20251116102405.csv,41.63
WM2509050395,2025-09-05,LCSC__WM2509050395_20251116102413.csv,129.53
WM2507220144,2025-07-22,LCSC__WM2507220144_20250908140249.csv,22.37
WM2507160419,2025-07-16,LCSC__WM2507160419_20250821103100.csv,60.0
WM2505120082,2025-05-12,LCSC__WM2505120082_20250821103104.csv,20.23
WM2504110508,2025-04-11,LCSC__WM2504110508_20250821103108.csv,53.74
WM2503240366,2025-03-24,LCSC__WM2503240366_20250821103111.csv,44.5
WM2502260196,2025-02-26,LCSC__WM2502260196_20250821103114.csv,20.35
WM2502070520,2025-02-07,LCSC__WM2502070520_20250821103117.csv,24.08
WM2501300162,2025-01-30,LCSC__WM2501300162_20250821103121.csv,92.67
WM2411130207,2024-11-13,LCSC__WM2411130207_20250821103124.csv,16.15
WM2410290175,2024-10-29,LCSC__WM2410290175_20250821103128.csv,35.86
WM2409290014,2024-09-29,LCSC__WM2409290014_20250821103131.csv,49.88
WM2409080115,2024-09-08,LCSC__WM2409080115_20250821103134.csv,35.0
WM2409060153,2024-09-06,LCSC__WM2409060153_20250821103137.csv,31.97
WM2405240122,2024-05-24,LCSC__WM2405240122_20250821103141.csv,25.95
WM2310150097,2023-10-15,LCSC__WM2310150097_20250821103144.csv,64.08
